Day_x,Artist(s)_x,Album_x,Record label(s)_x,Entering chart position_x,Month,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Entering chart position_y,Day_x,Artist(s)_x,Album_x,Record label(s)_x,Ref._x,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Ref._y,Day_x,Artist(s)_x,Album_x,Record label(s)_x,Ref._x,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Ref._y,Artist(s),Album,Record label(s),Ref.
1.0,03 Greedo,2025: The Streetz is Over Wiit,Self-released[13],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1.0,Duwap Kaine,Nobody Is Coming To Save You,TAF[14],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.0,Boldy James & RichGains,Murder During Drug Traffic,Self-released[15],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.0,Jon Connor,Food for the Soul,Self-released[16],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.0,Lil Baby,WHAM,Quality Control Music[17],Debuted at No. 1 on the Billboard 200,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3.0,Various artists,Death Row Revue,"Death Row Records, Gamma[16]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5.0,Bad Bunny,Debí Tirar Más Fotos,Rimas[18],Debuted at No. 2 on the Billboard 200,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8.0,Ransom,Cabrini Green,"Black Soprano Family, Momentum[19]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10.0,Diamond D,The Diam Piece 3: Duo,Dymond Mine Records[20],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10.0,Rilès,Survival Mode,Self-released[21],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10.0,Rio da Yung OG,Rio Free,#Boyz[22],Debuted at No. 157 on the Billboard 200,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10.0,Skiifall,Lovers Till I'm Gone,Self-released[23],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10.0,The Heatmakerz,The Anti-Social Experiment,Self-released[19],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10.0,Ziak,Essonne History X,"Errro, Chrome Castle[24]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11.0,Wiley,Boom Bap Vol 4,Self-released[25],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Busta Rhymes,Dragon Season... The Awakening,Conglomerate[26],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Logic,Aquarius III,BMG Rights Management[27],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Mac Miller,Balloonerism,Warner[28],Debuted at No. 3 on the Billboard 200,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Mick Jenkins,Type Shit,Self-released[29],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Myss Keta,Myss Keta,"Island Records, Universal Music Italia[30]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,OMB Peezy,Drifting Away,"Overkill, Hitmaker[19]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Philthy Rich,"Real, Rich & Respected",FOD[19],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Riff Raff,Welcome to Shaolin,"Castles of Chrome, Black 17[19]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Verbal Jint,Happy End,Otherside[31],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17.0,Wu-Syndicate,Wu-Rona Virus,Self-released[32],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21.0,YGTUT,Wash My Hands,The House[33],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
22.0,24hrs & King Kobi,24hrs on Saturn,NORP[34],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23.0,Da Uzi,Original Gangsta,Warner France[35],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23.0,Zillionaire Doe,D Boi Dreams,"CMG, Interscope[36]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Boldy James,Permanent Ink,Royal House[37],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Central Cee,Can't Rush Greatness,Columbia[38],Debuted at No. 1 on the UK Albums Chart Debuted at No. 9 on the Billboard 200,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Ghais Guevara,Goyard Ibn Said,Fat Possum[39],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Homeboy Sandman,Rich 2.5,Dirty Looks[40],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Hunxho,For Us,300[41],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Jeshi,Airbag Woke Me Up,Because[42],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Jordan Adetunji,A Jaguar's Dream,"300 Entertainment, Warner UK[43]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Krizbeatz,Daddy Daycare,"Streets Legend, ONErpm[44]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Moka Only & Reckonize Real,More Vibes & B-Sides,Real Deff[35],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,OsamaSon,Jump Out,"Atlantic Records, Motion Music[45]",Debuted at No. 151 on the Billboard 200,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Uncle Murda,Murda He Wrote,"ATM, Empire[33]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Young Franco,It's Franky Baby!,Neon[46],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24.0,Youssoupha,Amour Supreme,"99 Revolution, AllPoints[47][non-primary source needed]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
27.0,Pink Siifu,Black'!Antique,Dynamite Hill[48],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
30.0,Young Dro & Zaytoven,10 Piece Hot,Grand Hustle[49],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,BabyTron,Song Wars,"Hip Hop Lab, Empire[50]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,Canibus,The Almighty Era V2: The Final Chapter,"Q&A Logistics, 1332 Records[51]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,EST Gee,I Aint Feeling You,"CMG, Interscope[52]",Debuted at No. 97 on the Billboard 200,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,Iniko,The Awakening,"Columbia, Audio Angel[53]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,Madrox,More Music You Don't Wanna Hear From Someone You Barely Like,Majik Ninja Entertainment[54],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,Madvillain,Madvillainy Demos,Stones Throw[50],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,Mike,Showbiz!,10k[55],.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,The Weeknd,Hurry Up Tomorrow,"XO, Republic[56]",Debuted at No. 1 on the Billboard 200,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31.0,V Don,Sent For,"Black Soprano Family, Roc Nation Distribution[53]",.,January,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
